iso3c,remaining_gaps
SLB,Need Solomon Islands local/official 2002-2004 archive access; only international macro context was located.
PHL,Additional local-language archive search is required before treating absence as substantive.
AGO,Need Angolan local/official 2006-2008 source; located evidence is third-country context only.
CHL,No major gap for the benchmark code; still verify raw files before manuscript use.
BRA,No major gap for the benchmark code; still verify raw files before manuscript use.
MYS,"Preserve rank-definition caveat: MITI separately reports China as second-largest in 2009, and China/Hong Kong aggregation may alter interpretation."
AUS,"AFR broad aggregate-trading-partner source is archived as DO_NOT_COUNT context: it documents metric mismatch and pre-existing salience, not export-destination uptake."
SLE,Statistics Sierra Leone 2013 conflicts with Belgium-as-incumbent for the China-entry window.
URY,No major gap for the benchmark code; still verify raw files before manuscript use.
MMR,Available source ranks Thailand second and is not Myanmar-local; audit fiscal/calendar timing before inference.
SAU,No countable Saudi-local source in this pass establishes the United States as pre-entry export #1.
GAB,No countable local/official coverage of Congo-Brazzaville as incumbent was recovered.
KWT,Additional local-language archive search is required before treating absence as substantive.
QAT,No major gap for the benchmark code; still verify raw files before manuscript use.
