case_id,theme,doc_symbol,year,case_type,country,vote,convergence,meeting_symbol,meeting_url,speech_found_in_vote_window,speech_found_in_meeting,speech_found_for_resolution,relevance_rule,speaker_excerpt,vote_context_excerpt,source_note,date_accessed
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,negativo - pre-divergencia,Brazil,yes,divergente,A/62/PV.76,https://documents.un.org/api/symbol/access?l=en&s=A%2F62%2FPV.76&t=pdf,FALSE,FALSE,FALSE,,,"embers that action on draft resolution II, entitled
“Situation of human rights in Myanmar”, is postponed
to a later date to allow time for the review of its
programme budget implications by the Fifth
Committee. The Assembly will take action on draft
resolution II as soon as the report of the Fifth
Committee on its programme budget implications is
available.
I now call on the representative of Belarus.
Mr. Rachkov (Belarus) (spoke in Russian): The
delegation of Belarus has requested the floor with
regard to draft resolution IV, entitled “Situation of
human rights in Belarus”. The submission of the draftA/62/PV.76
07-64864 28
resolution on Belarus is an unjustified and politically
motivated step that undermines the Human Rights
Council’s consensus agreement on institution-building.
An inherent element of that agreement is elimination of
the mandate of the Special Rapporteur on the situat…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/62/167,2007,negativo - pre-divergencia,China,no,divergente,A/62/PV.76,https://documents.un.org/api/symbol/access?l=en&s=A%2F62%2FPV.76&t=pdf,FALSE,TRUE,FALSE,,,"embers that action on draft resolution II, entitled
“Situation of human rights in Myanmar”, is postponed
to a later date to allow time for the review of its
programme budget implications by the Fifth
Committee. The Assembly will take action on draft
resolution II as soon as the report of the Fifth
Committee on its programme budget implications is
available.
I now call on the representative of Belarus.
Mr. Rachkov (Belarus) (spoke in Russian): The
delegation of Belarus has requested the floor with
regard to draft resolution IV, entitled “Situation of
human rights in Belarus”. The submission of the draftA/62/PV.76
07-64864 28
resolution on Belarus is an unjustified and politically
motivated step that undermines the Human Rights
Council’s consensus agreement on institution-building.
An inherent element of that agreement is elimination of
the mandate of the Special Rapporteur on the situat…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/64/175,2009,negativo - pos-divergencia,Brazil,abstain,divergente,A/64/PV.65,https://documents.un.org/api/symbol/access?l=en&s=A%2F64%2FPV.65&t=pdf,FALSE,FALSE,FALSE,,,"and the Grenadines, Saudi Arabia, Senegal,
Serbia, Sierra Leone, Singapore, SolomonA/64/PV.65
23 09-65853
Islands, Somalia, South Africa, Sri Lanka, Sudan,
Suriname, Swaziland, Syrian Arab Republic,
Tajikistan, Thailand, Togo, Trinidad and Tobago,
Tunisia, Turkmenistan, Tuvalu, Uganda, United
Arab Emirates, United Republic of Tanzania,
Uruguay, Uzbekistan, Vanuatu, Venezuela
(Bolivarian Republic of), Viet Nam, Yemen,
Zambia, Zimbabwe.
Against:
Albania, Andorra, Australia, Austria, Belgium,
Bosnia and Herzegovina, Bulgaria, Canada,
Croatia, Cyprus, Czech Republic, Denmark,
Estonia, Finland, France, Georgia, Germany,
Greece, Hungary, Iceland, Ireland, Israel, Italy,
Latvia, Liechtenstein, Lithuania, Luxembourg,
Malta, Marshall Islands, Micronesia (Federated
States of), Monaco, Montenegro, Netherlands,
New Zealand, Norway, Palau, Poland, Portugal,
Republic of Korea, Republic of Moldova,
R…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/64/175,2009,negativo - pos-divergencia,China,no,divergente,A/64/PV.65,https://documents.un.org/api/symbol/access?l=en&s=A%2F64%2FPV.65&t=pdf,FALSE,FALSE,FALSE,,,"and the Grenadines, Saudi Arabia, Senegal,
Serbia, Sierra Leone, Singapore, SolomonA/64/PV.65
23 09-65853
Islands, Somalia, South Africa, Sri Lanka, Sudan,
Suriname, Swaziland, Syrian Arab Republic,
Tajikistan, Thailand, Togo, Trinidad and Tobago,
Tunisia, Turkmenistan, Tuvalu, Uganda, United
Arab Emirates, United Republic of Tanzania,
Uruguay, Uzbekistan, Vanuatu, Venezuela
(Bolivarian Republic of), Viet Nam, Yemen,
Zambia, Zimbabwe.
Against:
Albania, Andorra, Australia, Austria, Belgium,
Bosnia and Herzegovina, Bulgaria, Canada,
Croatia, Cyprus, Czech Republic, Denmark,
Estonia, Finland, France, Georgia, Germany,
Greece, Hungary, Iceland, Ireland, Israel, Italy,
Latvia, Liechtenstein, Lithuania, Luxembourg,
Malta, Marshall Islands, Micronesia (Federated
States of), Monaco, Montenegro, Netherlands,
New Zealand, Norway, Palau, Poland, Portugal,
Republic of Korea, Republic of Moldova,
R…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/66/174,2011,negativo - pos-divergencia,Brazil,yes,divergente,A/66/PV.89,https://documents.un.org/api/symbol/access?l=en&s=A%2F66%2FPV.89&t=pdf,FALSE,FALSE,FALSE,,,"ity, the Syrian authorities continue to refuse
access to the commission of inquiry mandated by the
United Nations Human Rights Council and have so
far have failed to implement the Plan of Action of the
League of Arab States.
The draft resolution before us is a unique and ad
hoc response to the dramatic events taking place on the
ground in the Syrian Arab Republic as we speak. Over
the past weekend alone, more than 20 dead were added
to the sad and long list of victims.
The draft resolution enjoys substantial support
from Member States in the Arab region. It underlines
the courageous initiative of the League of Arab States
to address the situation in Syria and calls for full
implementation of its Plan of Action by the Syrian
authorities in its entirety and without delay. That is
the call of the draft resolution. It supports the voice
of the Arab region. Let me emphasize that the draft
re…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N1,Country-specific human rights reports: DPRK,A/RES/66/174,2011,negativo - pos-divergencia,China,no,divergente,A/66/PV.89,https://documents.un.org/api/symbol/access?l=en&s=A%2F66%2FPV.89&t=pdf,FALSE,FALSE,FALSE,,,"ity, the Syrian authorities continue to refuse
access to the commission of inquiry mandated by the
United Nations Human Rights Council and have so
far have failed to implement the Plan of Action of the
League of Arab States.
The draft resolution before us is a unique and ad
hoc response to the dramatic events taking place on the
ground in the Syrian Arab Republic as we speak. Over
the past weekend alone, more than 20 dead were added
to the sad and long list of victims.
The draft resolution enjoys substantial support
from Member States in the Arab region. It underlines
the courageous initiative of the League of Arab States
to address the situation in Syria and calls for full
implementation of its Plan of Action by the Syrian
authorities in its entirety and without delay. That is
the call of the draft resolution. It supports the voice
of the Arab region. Let me emphasize that the draft
re…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N2,Country-specific human rights reports: Iran,A/RES/62/168,2007,negativo - pre-divergencia,Brazil,abstain,divergente,A/62/PV.76,https://documents.un.org/api/symbol/access?l=en&s=A%2F62%2FPV.76&t=pdf,FALSE,FALSE,FALSE,,,"India, Indonesia, Iran (Islamic
Republic of), Kazakhstan, Kuwait, Kyrgyzstan,
Lebanon, Libyan Arab Jamahiriya, Malaysia,
Mali, Morocco, Myanmar, Nicaragua, Niger,
Oman, Pakistan, Qatar, Russian Federation, Saudi
Arabia, Senegal, Solomon Islands, Somalia, South
Africa, Sri Lanka, Sudan, Swaziland, Syrian Arab
Republic, Tajikistan, Togo, Tunisia, Turkmenistan,
Tuvalu, United Republic of Tanzania, Uzbekistan,
Venezuela (Bolivarian Republic of), Viet Nam,
Yemen, Zimbabwe.
Against:
Albania, Andorra, Argentina, Australia, Austria,
Bahamas, Belgium, Bosnia and Herzegovina,
Bulgaria, Burundi, Canada, Chile, Costa Rica,
Croatia, Cyprus, Czech Republic, Denmark, El
Salvador, Estonia, Fiji, Finland, France, Germany,
Greece, Guatemala, Haiti, Honduras, Hungary,
Iceland, Ireland, Israel, Italy, Japan, Kiribati,
Latvia, Liberia, Liechtenstein, Lithuania,
Luxembourg, Malta, Marwill Islands, Mexico,
Mi…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N2,Country-specific human rights reports: Iran,A/RES/62/168,2007,negativo - pre-divergencia,China,no,divergente,A/62/PV.76,https://documents.un.org/api/symbol/access?l=en&s=A%2F62%2FPV.76&t=pdf,FALSE,TRUE,FALSE,,,"India, Indonesia, Iran (Islamic
Republic of), Kazakhstan, Kuwait, Kyrgyzstan,
Lebanon, Libyan Arab Jamahiriya, Malaysia,
Mali, Morocco, Myanmar, Nicaragua, Niger,
Oman, Pakistan, Qatar, Russian Federation, Saudi
Arabia, Senegal, Solomon Islands, Somalia, South
Africa, Sri Lanka, Sudan, Swaziland, Syrian Arab
Republic, Tajikistan, Togo, Tunisia, Turkmenistan,
Tuvalu, United Republic of Tanzania, Uzbekistan,
Venezuela (Bolivarian Republic of), Viet Nam,
Yemen, Zimbabwe.
Against:
Albania, Andorra, Argentina, Australia, Austria,
Bahamas, Belgium, Bosnia and Herzegovina,
Bulgaria, Burundi, Canada, Chile, Costa Rica,
Croatia, Cyprus, Czech Republic, Denmark, El
Salvador, Estonia, Fiji, Finland, France, Germany,
Greece, Guatemala, Haiti, Honduras, Hungary,
Iceland, Ireland, Israel, Italy, Japan, Kiribati,
Latvia, Liberia, Liechtenstein, Lithuania,
Luxembourg, Malta, Marwill Islands, Mexico,
Mi…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N2,Country-specific human rights reports: Iran,A/RES/64/176,2009,negativo - pos-divergencia,Brazil,abstain,divergente,A/64/PV.65,https://documents.un.org/api/symbol/access?l=en&s=A%2F64%2FPV.65&t=pdf,FALSE,FALSE,FALSE,,,"eland, Iraq,
Ireland, Israel, Italy, Jamaica, Japan, Jordan,
Kazakhstan, Kiribati, Latvia, Lebanon, Liberia,
Liechtenstein, Lithuania, Luxembourg,
Madagascar, Malawi, Maldives, Malta, Marshall
Islands, Mexico, Micronesia (Federated States
of), Monaco, Montenegro, Morocco, Nauru,
Netherlands, New Zealand, Norway, Palau,
Panama, Papua New Guinea, Paraguay, Peru,
Poland, Portugal, Republic of Korea, Republic of
Moldova, Romania, Saint Lucia, Samoa, San
Marino, Saudi Arabia, Sierra Leone, Slovakia,
Slovenia, Solomon Islands, Somalia, Spain,
Sweden, Switzerland, the former Yugoslav
Republic of Macedonia, Timor-Leste, Togo,
Tonga, Turkey, Tuvalu, Ukraine, United Arab
Emirates, United Kingdom of Great Britain and
Northern Ireland, United Republic of Tanzania,
United States of America, Uruguay, Vanuatu.
Against:
Algeria, Belarus, China, Cuba, Democratic
People’s Republic of Korea, Egypt, Equato…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
N2,Country-specific human rights reports: Iran,A/RES/64/176,2009,negativo - pos-divergencia,China,no,divergente,A/64/PV.65,https://documents.un.org/api/symbol/access?l=en&s=A%2F64%2FPV.65&t=pdf,FALSE,FALSE,FALSE,,,"eland, Iraq,
Ireland, Israel, Italy, Jamaica, Japan, Jordan,
Kazakhstan, Kiribati, Latvia, Lebanon, Liberia,
Liechtenstein, Lithuania, Luxembourg,
Madagascar, Malawi, Maldives, Malta, Marshall
Islands, Mexico, Micronesia (Federated States
of), Monaco, Montenegro, Morocco, Nauru,
Netherlands, New Zealand, Norway, Palau,
Panama, Papua New Guinea, Paraguay, Peru,
Poland, Portugal, Republic of Korea, Republic of
Moldova, Romania, Saint Lucia, Samoa, San
Marino, Saudi Arabia, Sierra Leone, Slovakia,
Slovenia, Solomon Islands, Somalia, Spain,
Sweden, Switzerland, the former Yugoslav
Republic of Macedonia, Timor-Leste, Togo,
Tonga, Turkey, Tuvalu, Ukraine, United Arab
Emirates, United Kingdom of Great Britain and
Northern Ireland, United Republic of Tanzania,
United States of America, Uruguay, Vanuatu.
Against:
Algeria, Belarus, China, Cuba, Democratic
People’s Republic of Korea, Egypt, Equato…",Official UN meeting record; speeches are extracted from the English PV record. A FALSE value means no Brazil/China speaker turn was detected in the selected vote window.,2026-05-16
