case_id,theme,doc_symbol,case_type,selection_note,rcid,year,unres,short,descr,issue,title_key,vote_brazil,vote_china,convergence,document_url,vote_record_url,evidence_available,source
N1,Country-specific human rights reports: DPRK,A/RES/62/167,negativo - pre-divergencia,Brazil yes / China no before 2009.,4813,2007,R/62/167,"HUMAN RIGHTS, REPORTS, DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA",Situation of human rights in the Democratic People's Republic of Korea : resolution / adopted by the General Assembly,Human rights,situation of human rights in the democratic people s republic of korea,yes,no,divergente,https://docs.un.org/en/A/RES/62/167,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F62%2F167,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N1,Country-specific human rights reports: DPRK,A/RES/64/175,negativo - pos-divergencia,Comparable country-specific report remains divergent after 2009.,5029,2009,R/64/175,"HUMAN RIGHTS, REPORTS, DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA",Situation of human rights in the Democratic People's Republic of Korea : resolution / adopted by the General Assembly,Human rights,situation of human rights in the democratic people s republic of korea,abstain,no,divergente,https://docs.un.org/en/A/RES/64/175,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F64%2F175,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N1,Country-specific human rights reports: DPRK,A/RES/66/174,negativo - pos-divergencia,Comparable country-specific report remains divergent after 2009.,5133,2011,R/66/174,HUMAN RIGHTS--REPORTS,Situation of human rights in the Democratic People's Republic of Korea : resolution / adopted by the General Assembly,Human rights,situation of human rights in the democratic people s republic of korea,yes,no,divergente,https://docs.un.org/en/A/RES/66/174,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F66%2F174,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N2,Country-specific human rights reports: Iran,A/RES/62/168,negativo - pre-divergencia,Brazil abstain / China no before 2009.,4814,2007,R/62/168,"HUMAN RIGHTS, REPORTS, IRAN (ISLAMIC REPUBLIC OF)",Situation of human rights in the Islamic Republic of Iran : resolution / adopted by the General Assembly,Human rights,situation of human rights in the islamic republic of iran,abstain,no,divergente,https://docs.un.org/en/A/RES/62/168,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F62%2F168,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N2,Country-specific human rights reports: Iran,A/RES/64/176,negativo - pos-divergencia,Comparable country-specific report remains divergent after 2009.,5030,2009,R/64/176,"HUMAN RIGHTS, REPORTS, IRAN (ISLAMIC REPUBLIC OF)",Situation of human rights in the Islamic Republic of Iran : resolution / adopted by the General Assembly,Human rights,situation of human rights in the islamic republic of iran,abstain,no,divergente,https://docs.un.org/en/A/RES/64/176,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F64%2F176,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N2,Country-specific human rights reports: Iran,A/RES/66/175,negativo - pos-divergencia,Comparable country-specific report remains divergent after 2009.,5134,2011,R/66/175,HUMAN RIGHTS--REPORTS,Situation of human rights in the Islamic Republic of Iran : resolution / adopted by the General Assembly,Human rights,situation of human rights in the islamic republic of iran,abstain,no,divergente,https://docs.un.org/en/A/RES/66/175,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F66%2F175,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N3,Reducing nuclear danger,A/RES/59/79,negativo - pre-divergencia,Brazil yes / China abstain before 2009.,4563,2004,R/59/79,Reducing nuclear danger : resolution / adopted by the Genera,Reducing nuclear danger : resolution / adopted by the General Assembly,Nuclear weapons and nuclear material,reducing nuclear danger,yes,abstain,divergente,https://docs.un.org/en/A/RES/59/79,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F59%2F79,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N3,Reducing nuclear danger,A/RES/64/37,negativo - pos-divergencia,Comparable recurring resolution remains divergent after 2009.,4991,2009,R/64/37,NUCLEAR NON-PROLIFERATION,Reducing nuclear danger : resolution / adopted by the General Assembly,Arms control and disarmament; Nuclear weapons and nuclear material,reducing nuclear danger,yes,abstain,divergente,https://docs.un.org/en/A/RES/64/37,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F64%2F37,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N3,Reducing nuclear danger,A/RES/67/45,negativo - pos-divergencia,Comparable recurring resolution remains divergent after 2009.,5201,2012,R/67/45,NUCLEAR NON-PROLIFERATION,Reducing nuclear danger : resolution / adopted by the General Assembly,Arms control and disarmament; Nuclear weapons and nuclear material,reducing nuclear danger,yes,abstain,divergente,https://docs.un.org/en/A/RES/67/45,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F67%2F45,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
N4,Moratorium on the death penalty,A/RES/62/149,negativo - pre-divergencia,Brazil yes / China no before 2009.,4801,2007,R/62/149,"HUMAN RIGHTS ADVANCEMENT, CAPITAL PUNISHMENT",Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,Human rights,moratorium on the use of the death penalty,yes,no,divergente,https://docs.un.org/en/A/RES/62/149,https://digitallibrary.un.org/search?ln=en&p=A%2FRES%2F62%2F149,UNGA roll-call vote metadata from unvotes/Voeten; official resolution text available through docs.un.org; vote-record search available through the UN Digital Library. Explanations of vote were not systematically collected in this round.,"unvotes 0.3.0 CRAN tarball (https://cran.r-project.org/src/contrib/unvotes_0.3.0.tar.gz), accessed 2026-05-16"
