iso3c,country_name,entry_year,evidence_year,source_type,source_name,source_country,language,title,publication_date,url,archive_url,raw_file,query_used,accessed_at,rank_label_original,rank_label_english,label_type,explicit_rank_language,mentions_china_rank_change,mentions_displaced_incumbent,displaced_partner_named,excerpt_under_25_words,evidence_strength,notes,metric_in_source,search_window
KOR,South Korea,2003,2003,newspaper,Korea JoongAng Daily,South Korea,en,Korea’s neighbor is now its largest export market,2003-10-24,https://koreajoongangdaily.joins.com/2003/10/24/economy/Koreas-neighbor-is-now-its-largest-export-market/2050062.html,,data/raw/status_cue_salience/extension_2026/KOR/2003/kor_joongang_2003_10_24/20260922T224712Z.html,site:koreajoongangdaily.joins.com 2003 China Korea top export market United States,2026-09-22T22:47:12+00:00,top export destination,top export destination,export_rank,true,true,true,United States,China has nosed out the United States to become Korea’s top export destination,strong,,goods_exports,2003-2004
KOR,South Korea,2003,2003,official_release,Republic of Korea Policy Briefing,South Korea,ko,"중국, 최대 수출국으로 부상",2003-10-27,https://www.korea.kr/briefing/policyBriefingView.do?newsId=45001912,,data/raw/status_cue_salience/extension_2026/KOR/2003/kor_korea_kr_2003_10_27/20260922T223437Z.html,site:korea.kr 2003 중국 최대 수출시장 미국 수출 2003,2026-09-22T22:34:37+00:00,우리 나라의 최대 수출시장,our largest export market,export_rank,true,true,true,United States,중국이 미국을 제치고 우리 나라의 최대 수출시장으로 부상했습니다.,strong,,goods_exports,2003-2004
JPN,Japan,2008,2008,newspaper,The Japan Times,Japan,en,Trade surplus up 37%; China No. 1 destination,2008-01-25,https://www.japantimes.co.jp/news/2008/01/25/business/trade-surplus-up-37-china-no-1-destination/,https://web.archive.org/web/20250910195944id_/https://www.japantimes.co.jp/news/2008/01/25/business/trade-surplus-up-37-china-no-1-destination/,data/raw/status_cue_salience/extension_2026/JPN/2008/jpn_japantimes_2008_01_25/20260922T224714Z.html,Japan China largest export destination 2008 2009 United States Japanese government newspaper,2026-09-22T22:47:14+00:00,Japan’s biggest export destination,Japan’s biggest export destination,export_rank,true,true,true,United States,"China, including Hong Kong, for the first time ... replaced the U.S. as Japan’s biggest export destination",strong,DO_NOT_COUNT: not approved for count; claim marker absent; quote absent or 25+ words; Publisher/Wayback raw exposes dated headline but not full article body; search snippet mentioning Hong Kong is not a preserved claim and must not count.,goods_exports,2008-2009
JPN,Japan,2008,2008,official_release,JETRO,Japan,ja,日本にとって最大の貿易相手に−07年の日中貿易,2008-02-29,https://www.jetro.go.jp/biznews/2008/02/47c77091a2691.html,,data/raw/status_cue_salience/extension_2026/JPN/2008/jpn_jetro_2008_02_29/20260922T223441Z.html,Japan China largest export destination 2008 2009 United States Japanese government newspaper,2026-09-22T22:34:41+00:00,最大の貿易相手国,largest trading partner,generic_trade_partner,true,true,true,United States,中国が米国を抜いて最大の貿易相手国となった,strong,"Two-way trade for 2007, not goods-export-destination ranking for 2008.",two_way_trade,2008-2009
ZAF,South Africa,2009,2009,newspaper,Mail & Guardian,South Africa,en,"It’s the rigidities, stupid",2009-12-11,https://mg.co.za/article/2009-12-11-its-the-rigidities-stupid/,,data/raw/status_cue_salience/extension_2026/ZAF/2009/zaf_mg_2009_12_11/20260922T223443Z.html,"site:mg.co.za ""trade with China"" ""largest trading partner"" 2009",2026-09-22T22:34:43+00:00,our largest trading partner,our largest trading partner,generic_trade_partner,true,false,false,,"trade with China, now our largest trading partner",strong,,unspecified,2009-2010
ZAF,South Africa,2009,2010,official_speech,South African Government / Minister of Trade and Industry,South Africa,en,Address by the South African Minister of Trade and Industry,2010-03-31,https://www.gov.za/news/speeches/address-south-african-minister-trade-and-industry-dr-31-mar-2010,,data/raw/status_cue_salience/extension_2026/ZAF/2010/zaf_gov_davies_2010_03_31/20260922T223447Z.html,site:gov.za 2010 China South Africa largest trade partner 2009,2026-09-22T22:34:47+00:00,our number one trading partner,our number one trading partner,generic_trade_partner,true,true,true,United States,"Today in 2010, China is our number one trading partner",strong,,two_way_trade,2009-2010
PER,Peru,2010,2011,national_news_agency,Agencia Andina,Peru,es,Exportaciones peruanas crecieron 31.1% en el 2010,2011-01-28,https://andina.pe/agencia/noticia-exportaciones-peruanas-crecieron-311-el-2010-al-sumar-record-historico-35402-millones-340321.aspx,,data/raw/status_cue_salience/extension_2026/PER/2011/per_andina_2011_01_28/20260922T223449Z.html,site:andina.pe 2011 China principal destino exportaciones peruanas Estados Unidos,2026-09-22T22:34:49+00:00,Estados Unidos se mantuvo como el principal destino,United States remained the leading destination,export_rank,false,false,false,,Estados Unidos se mantuvo como el principal destino de las exportaciones peruanas,weak,DO_NOT_COUNT: not approved for count; no explicit rank-language flag,goods_exports,2010-2011
PER,Peru,2010,2011,official_release,Peru Ministry of Economy and Finance,Peru,es,MEF: posibilidades de recesión en Perú son totalmente remotas,2011-10-20,https://mef.gob.pe/es/notas-de-prensa-y-comunicados/2691-mef-posibilidades-de-recesion-en-peru-son-totalmente-remotas,,data/raw/status_cue_salience/extension_2026/PER/2011/per_mef_2011_10_20/20260922T223449Z.html,site:mef.gob.pe 2011 China principal socio comercial Perú,2026-09-22T22:34:49+00:00,nuestro principal socio comercial,our principal trading partner,generic_trade_partner,true,true,true,United States,"China es nuestro principal socio comercial, al haber desplazado a los Estados Unidos",strong,DO_NOT_COUNT: not approved for count; claim marker absent; publication-date marker absent; quote absent or 25+ words,unspecified,2010-2011
CMR,Cameroon,2012,2013,business_news,Investir au Cameroun,Cameroon,fr,"En 2011-2012, la Chine est devenue le premier client du Cameroun",2013-12-13,https://www.investiraucameroun.com/commerce/1312-4883-en-2011-2012-la-chine-est-devenue-le-premier-client-du-cameroun-tandis-que-le-nigeria-demeure-son-principal-fournisseur,,data/raw/status_cue_salience/extension_2026/CMR/2013/cmr_investir_2013_12_13/20260922T223451Z.html,Chine premier partenaire commercial Cameroun 2012 2013,2026-09-22T22:34:51+00:00,premier client bilatéral du Cameroun,Cameroon's leading bilateral export customer,export_rank,true,true,true,Spain,la Chine est devenue le premier client bilatéral du Cameroun,strong,Direct publisher raw was preserved and contains the dated claim.,goods_exports,2012-2013
NZL,New Zealand,2013,2013,business_news,Scoop / BusinessDesk,New Zealand,en,China overtakes Australia as NZ’s biggest export market,2013-04-26,https://www.scoop.co.nz/stories/BU1304/S00891/china-overtakes-australia-as-nzs-biggest-export-market.htm,,data/raw/status_cue_salience/extension_2026/NZL/2013/nzl_scoop_2013_04_26/20260922T223453Z.html,site:scoop.co.nz 2013 China overtakes Australia largest export market New Zealand,2026-09-22T22:34:53+00:00,biggest export market,biggest export market,export_rank,true,true,true,Australia,China has overtaken Australia as New Zealand's biggest export market,strong,BusinessDesk article republished by Scoop and NZ Herald; one publisher family.,goods_exports,2013-2014
