iso3c,country_name,entry_year,n_newspaper_sources_strong,n_official_sources_strong,n_total_strong_or_moderate,has_explicit_export_rank_label,has_explicit_generic_trade_partner_label,has_official_uptake,has_newspaper_uptake,salience_code,negative_case_candidate,coding_rationale,remaining_gaps,search_windows_tried,n_queries_logged,previous_code,first_cue_date,first_cue_date_precision,first_cue_source_id,first_cue_metric,first_cue_period,annual_confirmation_source_id,metrics_in_public_use,metric_conflicts,years_searched_before_first_cue
JPN,Japan,2008,1,1,2,false,true,true,true,high,no,"2 archived countable source(s), 2 publisher family/families; earliest jpn_jcast_2007_04_26.",No earlier mainland-only local rank claim recovered for 2005-2006.,2005-2011,7,unknown,2007-04-26,day,jpn_jcast_2007_04_26,two_way_trade_goods,fiscal_year,,goods_exports;two_way_trade_goods,FY2006 mainland-only two-way goods China first; final 2008 goods exports United States first. Earlier MOFA/Japan Times export formulations aggregate mainland China with Hong Kong.,2005-2006
MYS,Malaysia,2009,1,1,2,false,true,true,true,high,no,"2 archived countable source(s), 2 publisher family/families; earliest mys_miti_2010_02_22.",Earlier local full-year China-first article before February 2010 not recovered.,2006-2012,6,unknown,2010-02-22,day,mys_miti_2010_02_22,two_way_trade_goods,annual,,goods_exports;two_way_trade_goods,2009 annual two-way goods China first; January-October 2009 partial reporting had China second; Hong Kong-inclusive export claims excluded.,2006-2009
PER,Peru,2010,2,0,2,true,true,false,true,medium,no,"2 archived countable source(s), 1 publisher family/families; earliest per_andina_2011_05_16.",No earlier current China-first label recovered; 2009-2010 official exports put United States first.,2007-2013,7,unknown,2011-05-16,day,per_andina_2011_05_16,goods_exports,other,,goods_exports;total_trade_unspecified;two_way_trade_goods,2010 annual goods exports United States first; 2011 current goods exports China first. October 2011 total-trade wording and earlier prospective total-trade claim use another metric.,2007-2010
SAU,Saudi Arabia,2013,2,0,2,false,true,false,true,high,no,"2 archived countable source(s), 2 publisher family/families; earliest sau_alwatan_2013_02_27.",Earlier Al Riyadh February 12 2013 page blocked by robots; December 2012 Al Madina refers to 2011 and has uncertain editorial provenance.,2010-2016,12,unknown,2013-02-27,day,sau_alwatan_2013_02_27,two_way_trade_goods,annual,,goods_exports;total_trade_unspecified;two_way_trade_goods,"Al Watan in February 2013 reports China first in 2012 two-way goods trade based on the Chinese ambassador; Al Eqtisadiah in March 2014 cites Saudi GASTAT figures putting China second after the United States for 2012 in the same metric. The cue documents press language, not a reconciled statistical rank. In 2013 annual goods exports China was second in Al Riyadh/SPA.",2010-2012
PHL,Philippines,2005,0,0,0,false,false,false,false,unknown,no,"0 archived countable source(s), 0 publisher family/families; earliest none.",PSA direct capture blocked; accessible rankings put other countries first and a GMA China-first claim is semiconductor-only.,2002-2008,6,unknown,,,,,,,goods_exports,,
RUS,Russia,2012,3,0,3,false,true,false,true,high,no,"3 archived countable source(s), 3 publisher family/families; earliest rus_bfm_2011_01_14.",2009 first-quarter cue lacks matching full-year confirmation.,2009-2015,8,unknown,2011-01-14,day,rus_bfm_2011_01_14,two_way_trade_goods,other,rus_km_2011_06_16,two_way_trade_goods,2009 first-quarter two-way China first but full 2009 Netherlands/Germany ahead; 2010 January-November cue is confirmed for full 2010 by the Putin quote in KM.ru. Vedomosti annual ordering alone covers non-CIS partners.,2009-2010
KAZ,Kazakhstan,2007,0,0,0,false,false,false,false,unknown,no,"0 archived countable source(s), 0 publisher family/families; earliest none.",Official 2009 statistics and ministerial listing conflict; no unambiguous local China-first rank claim within 2004-2010.,2004-2010,6,unknown,,,,,,,two_way_trade_goods,"2009 ministerial ordering puts China before Russia and Italy, but 2009 official bilateral sums put Russia ahead; the wording does not explicitly declare China first.",
AGO,Angola,2007,0,0,0,false,false,false,false,unknown,no,"0 archived countable source(s), 0 publisher family/families; earliest none.","INE 2008 annual is indexed on a third-party mirror but HTTP 403 prevents raw capture; its date is only June 2009. The official INE index lists 2008 foreign-trade bulletins, but historical detail pages timed out; earlier newsroom archives largely unavailable.",2004-2010,9,unknown,,,,,,,goods_exports,"Web-indexed 2008 INE annual says China first in total goods exports, but its mirror could not be archived; BNI claim concerns mineral exports only.",
COD,Congo - Kinshasa,2008,0,0,0,false,false,false,false,unknown,no,"0 archived countable source(s), 0 publisher family/families; earliest none.",Central-bank PDF direct capture fails; available text does not establish the rank for all exports.,2005-2011,3,unknown,,,,,,,goods_exports,,
MRT,Mauritania,2006,0,0,0,false,false,false,false,unknown,no,"0 archived countable source(s), 0 publisher family/families; earliest none.",AMI archives checked; available 2006-2007 cooperation coverage lacks a countrywide first rank.,2003-2009,4,unknown,,,,,,,,,
MMR,Myanmar (Burma),2014,1,0,1,false,true,false,true,medium,no,"1 archived countable source(s), 1 publisher family/families; earliest mmr_dvb_2014_05_09.",Earlier 2012 Irrawaddy pages blocked (HTTP 403); FY2013-14 DVB article archived.,2011-2017,6,unknown,2014-05-09,day,mmr_dvb_2014_05_09,two_way_trade_goods,fiscal_year,,total_trade_unspecified;two_way_trade_goods,FY2013-14 two-way goods China first in DVB; 2013 Irrawaddy commentary puts Thailand first for an unspecified earlier period.,2011-2013
SLB,Solomon Islands,2003,0,0,0,false,false,false,false,unknown,no,"0 archived countable source(s), 0 publisher family/families; earliest none.",CBSI 2004 source not directly captured (HTTP 404); historical Solomon Star/SIBC archives not recovered.,2000-2006,3,unknown,,,,,,,goods_exports,"A later retrospective says China overtook Japan in 2003, but 2004 CBSI report identifies Japan as first. No eligible contemporaneous archived cue in the window.",
