iso3c,country_name,entry_year,evidence_year,source_type,source_name,source_country,language,title,publication_date,url,archive_url,raw_file,query_used,accessed_at,rank_label_original,rank_label_english,label_type,explicit_rank_language,mentions_china_rank_change,mentions_displaced_incumbent,displaced_partner_named,excerpt_under_25_words,evidence_strength,notes,metric_in_source,search_window,source_id,publisher_family,entity_in_source,period_in_source,annual_confirmation_source_id,counts_under_metric_rule,metric_rule_reason,reevaluated_from
JPN,Japan,2008,2006,official_statistics,Japan Ministry of Foreign Affairs,Japan,ja,中国（香港を含む）,2006-01-01,https://www.mofa.go.jp/mofaj/gaiko/bluebook/2006/html/h2/h2_1_15.html,,,site:mofa.go.jp 2006 中国 香港を含む 最大 貿易相手国,2026-09-24T02:50:57+00:00,中国（香港を含む）,,,,,,,,DO_NOT_COUNT,,two_way_trade_goods,2005-2011,jpn_mofa_2006_hk,MOFA,china_including_hong_kong,annual,,no,Earlier China-first figure explicitly includes Hong Kong and is excluded. Capture unavailable/invalid: http_403,
JPN,Japan,2008,2007,newspaper,J-CAST News,Japan,ja,中国（香港を除く）が最大の貿易相手国,2007-04-26,https://news.livedoor.com/article/detail/3137009/,,data/raw/status_cue_salience/targeted_2026/JPN/2007/jpn_jcast_2007_04_26/20260924T020143Z.html,site:j-cast.com 2007 中国 香港を除く 最大 貿易相手 国,2026-09-24T02:01:43+00:00,中国（香港を除く）が米国を抜き、最大の貿易相手国になった,China excluding Hong Kong became Japan largest trading partner,generic_trade_partner,true,,,,中国（香港を除く）が米国を抜き、最大の貿易相手国になった,strong,,two_way_trade_goods,2005-2011,jpn_jcast_2007_04_26,J-CAST,mainland_china,fiscal_year,,yes,Fiscal 2006 mainland China excluding Hong Kong was Japan first two-way goods partner.,
JPN,Japan,2008,2007,newspaper,The Japan Times,Japan,en,China top trading partner excluding Hong Kong,2007-05-13,https://www.japantimes.co.jp/opinion/2007/05/13/editorials/path-to-mutual-prosperity/,,,site:japantimes.co.jp 2007 Japan China excluding Hong Kong top trading partner fiscal 2006,2026-09-24T02:50:56+00:00,China top trading partner excluding Hong Kong,China excluding Hong Kong was Japan top trading partner,generic_trade_partner,true,,,,China top trading partner excluding Hong Kong,DO_NOT_COUNT,,two_way_trade_goods,2005-2011,jpn_japantimes_2007_05_13,Japan Times,mainland_china,fiscal_year,,no,Independent Japanese newspaper says China excluding Hong Kong first in FY2006. Capture unavailable/invalid: robots_http_403_stop,
JPN,Japan,2008,2008,newspaper,The Japan Times,Japan,en,Trade surplus up 37%; China No. 1 destination,2008-01-25,https://www.japantimes.co.jp/news/2008/01/25/business/trade-surplus-up-37-china-no-1-destination/,https://web.archive.org/web/20250910195944id_/https://www.japantimes.co.jp/news/2008/01/25/business/trade-surplus-up-37-china-no-1-destination/,data/raw/status_cue_salience/targeted_2026/JPN/2008/old_evidence_extension_4/20260924T020332Z.html,Japan China largest export destination 2008 2009 United States Japanese government newspaper,2026-09-22T22:47:14+00:00,Japan’s biggest export destination,Japan’s biggest export destination,export_rank,true,true,true,United States,"China, including Hong Kong, for the first time ... replaced the U.S. as Japan’s biggest export destination",DO_NOT_COUNT,DO_NOT_COUNT: not approved for count; claim marker absent; quote absent or 25+ words; Publisher/Wayback raw exposes dated headline but not full article body; search snippet mentioning Hong Kong is not a preserved claim and must not count.,goods_exports,2005-2011,old_evidence_extension_4,Japan Times,china_including_hong_kong,annual,,no,China-plus-Hong-Kong aggregation makes the export-first claim; excluded entity.,status_cue_source_evidence_extension.csv:4
JPN,Japan,2008,2008,official_release,JETRO,Japan,ja,日本にとって最大の貿易相手に−07年の日中貿易,2008-02-29,https://www.jetro.go.jp/biznews/2008/02/47c77091a2691.html,,data/raw/status_cue_salience/targeted_2026/JPN/2008/old_evidence_extension_5/20260924T020332Z.html,Japan China largest export destination 2008 2009 United States Japanese government newspaper,2026-09-22T22:34:41+00:00,最大の貿易相手国,largest trading partner,generic_trade_partner,true,true,true,United States,中国が米国を抜いて最大の貿易相手国となった,strong,"Two-way trade for 2007, not goods-export-destination ranking for 2008.",two_way_trade_goods,2005-2011,old_evidence_extension_5,JETRO,mainland_china,annual,,yes,Official Japanese 2007 two-way goods rank puts mainland China first.,status_cue_source_evidence_extension.csv:5
JPN,Japan,2008,2009,official_statistics,Japan Ministry of Finance Customs and Tariff Bureau,Japan,ja,2008年（年分）貿易統計（確定）,2009-03-12,https://www.customs.go.jp/toukei/shinbun/trade-st/2008/200828f.pdf,,data/raw/status_cue_salience/targeted_2026/JPN/2009/old_evidence_extension_24/20260924T020332Z.pdf,site:customs.go.jp 2008年 輸出 米国 １位 中国 ２位 2009,2026-09-22T22:53:51+00:00,米国 first; 中国 second,United States first; China second,export_rank,false,false,false,,,DO_NOT_COUNT,"DO_NOT_COUNT: not approved for count; no explicit rank-language flag; Official final 2008 annual trade table; used to audit the strict mainland-China goods-export rank, not as a China-first public cue.",goods_exports,2005-2011,old_evidence_extension_24,Japan Customs,mainland_china,annual,,no,US led Japan goods exports in 2008; no China-first cue.,status_cue_source_evidence_extension.csv:24
MYS,Malaysia,2009,2010,government_news,MITI / Bernama,Malaysia,en,"Ministry of Investment, Trade and Industry page on China-ASEAN FTA",2010-01-07,https://www.miti.gov.my/index.php/pages/view/1446,,data/raw/status_cue_salience/targeted_2026/MYS/2010/old_evidence_10/20260924T020332Z.html,"Malaysia China largest trading partner 2009 2010 official Bernama ""largest trading partner""",2026-05-20T14:58:23+00:00,second largest trading partner; second largest export market,second-largest trading partner and export market,non_top_rank,true,false,false,,China is now Malaysia's second largest trading partner.,DO_NOT_COUNT,DO_NOT_COUNT: contemporaneous official-source rank language does not code China as the top partner.,two_way_trade_goods,2006-2012,old_evidence_10,MITI/Bernama,mainland_china,other,,no,China was second in January-October 2009; no China-first cue.,status_cue_source_evidence.csv:10
MYS,Malaysia,2009,2010,official_release,MITI Bernama,Malaysia,en,China and Hong Kong first export destination,2010-02-05,https://www.miti.gov.my/index.php/pages/view/2015,,data/raw/status_cue_salience/targeted_2026/MYS/2010/mys_miti_hk_2010_02_05/20260924T020210Z.html,site:miti.gov.my 2010 China Hong Kong export destination Malaysia,2026-09-24T02:02:10+00:00,China and Hong Kong first export destination,,,,,,,,DO_NOT_COUNT,,goods_exports,2006-2012,mys_miti_hk_2010_02_05,MITI/Bernama,china_including_hong_kong,annual,,no,China plus Hong Kong first export destination; entity sum excluded.,
MYS,Malaysia,2009,2010,newspaper,The Star (MITI archive),Malaysia,en,China largest trading partner,2010-02-22,https://www.miti.gov.my/index.php/pages/view/1318,,data/raw/status_cue_salience/targeted_2026/MYS/2010/mys_miti_2010_02_22/20260924T020152Z.html,site:miti.gov.my 22 February 2010 China largest trading partner Malaysia,2026-09-24T02:01:52+00:00,China is now Malaysia’s largest trading partner,China is now Malaysia largest trading partner,generic_trade_partner,true,,,,China is now Malaysia’s largest trading partner,strong,,two_way_trade_goods,2006-2012,mys_miti_2010_02_22,The Star,mainland_china,annual,,yes,"The Star local report, archived by MITI, uses completed 2009 annual two-way goods trade and China-first label.",
MYS,Malaysia,2009,2010,official_speech,Bank Negara Malaysia,Malaysia,en,China now becoming largest trading partner,2010-04-28,https://www.bnm.gov.my/-/governor-s-address-at-the-launch-of-industrial-and-commercial-bank-of-china-malaysia-berhad,,,site:bnm.gov.my 2010 China now becoming Malaysia largest trading partner,2026-09-24T02:50:58+00:00,China now becoming largest trading partner,China now becoming Malaysia largest trading partner,generic_trade_partner,true,,,,China now becoming largest trading partner,DO_NOT_COUNT,,two_way_trade_goods,2006-2012,mys_bnm_2010_04_28,BNM,mainland_china,other,,no,Contemporary governor speech explicitly names China as largest partner; no subannual period stated. Capture unavailable/invalid: http_403,
MYS,Malaysia,2009,2010,official_statistics,MITI annual report,Malaysia,en,China largest trading partner,2010-06,https://www.miti.gov.my/miti/resources/auto%20download%20images/55555e1816f94.pdf,,data/raw/status_cue_salience/targeted_2026/MYS/2010/mys_miti_2009_report/20260924T020203Z.pdf,site:miti.gov.my Malaysia trade 2009 China largest trading partner annual report,2026-09-24T02:02:03+00:00,The PRC accounted for 12.9% of Malaysia’s total trade and surpassed Singapore in 2009 as Malaysia’s largest trading partner,The PRC surpassed Singapore as Malaysia largest trading partner in 2009,generic_trade_partner,true,,,,The PRC accounted for 12.9% of Malaysia’s total trade and surpassed Singapore in 2009 as Malaysia’s largest trading partner,strong,,two_way_trade_goods,2006-2012,mys_miti_2009_report,MITI,mainland_china,annual,,yes,"Official report has copyright JUNE 2010 and says mainland PRC overtook Singapore as largest full-year 2009 two-way goods partner; month known, day unreported.",
