id,date,year,source_type,institution,speaker_author,title,url,local_raw_path,accessed_date,exact_quote,english_translation_if_needed,context_summary,mechanism_relevance,strength_rating,factcheck_status,notes
MECH001,2009-02-18,2009,MRE/FUNAG official policy review (press note),Ministry of External Relations (MRE/Itamaraty),MRE press note,"Visita do Vice-Presidente da República Popular da China, Xi Jinping - Brasília e Manaus, 18 a 20 de fevereiro de 2009",https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha_numero_104_1_2009.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha_numero_104_1_2009.pdf,2026-05-19,China tornou-se o segundo maior parceiro individual do Brasil.,China became Brazil's second-largest individual trading partner.,"The note announced Xi Jinping's visit to Brasilia and Manaus and framed meetings with Lula and Amorim as opportunities to energize bilateral relations, intensify coordination on international issues, and sign cooperation instruments.","Contextual pre-treatment/status evidence: before the full 2009 overtaking, MRE already described China by rank in a diplomatic-visit note. It should not be used as evidence that China was already the top partner.",Média,verified,Independent verifier confirmed the quote and warned that it is only second-largest partner language.
MECH002,2009-05-16,2009,Presidential interview reproduced in MRE/FUNAG official policy review,Presidency of Brazil; MRE/FUNAG,President Luiz Inácio Lula da Silva,"Entrevista exclusiva concedida por escrito pelo Presidente da República, Luiz Inácio Lula da Silva, à agência de notícias Xinhua, da China",https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha_numero_104_1_2009.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha_numero_104_1_2009.pdf,2026-05-19,a China é hoje o primeiro parceiro do Brasil.,China is now Brazil's top trading partner.,"Asked about the purpose and objectives of his China visit, Lula framed the partnership around commerce, technology, and global governance; he then called for diversification of trade, Chinese investment in Brazil, and coordination in the G20 and Bretton Woods reform.",Direct rank cue used by the president to justify and organize the agenda of an official visit and broader strategic partnership.,Forte,verified,Translation uses top/largest trading partner rather than literal first partner.
MECH003,2009-05-19,2009,Presidential speech reproduced in MRE/FUNAG official policy review,Presidency of Brazil; MRE/FUNAG,President Luiz Inácio Lula da Silva,Discurso durante o Seminário Brasil-China: Novas Oportunidades para a Parceria Estratégica,https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha_numero_104_1_2009.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha_numero_104_1_2009.pdf,2026-05-19,"A China passou a ser, em 2009, o maior parceiro comercial brasileiro.",China became Brazil's largest trading partner in 2009.,"In Beijing, Lula described a special moment in Brazil-China relations, celebrated 35 years of relations, reaffirmed the strategic partnership, discussed trade and investment expansion, and called for trade diversification and a joint action plan.",Direct presidential use of the new commercial rank in a strategic-partnership setting to frame expanded cooperation and policy coordination.,Forte,verified,Strong source for the public status cue mechanism.
MECH004,2009-05-19,2009,Presidential speech reproduced in MRE/FUNAG official policy review,Presidency of Brazil; MRE/FUNAG,President Luiz Inácio Lula da Silva,Discurso durante a inauguração do Centro de Estudos Brasileiros em Pequim,https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha_numero_104_1_2009.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha_numero_104_1_2009.pdf,2026-05-19,Em 2009 a China passou a ser o principal parceiro comercial do Brasil.,"In 2009, China became Brazil's principal trading partner.","Lula placed the rank statement inside remarks on the strategic partnership, presidential diplomacy as an indicator of priorities, repeated Lula-Hu meetings, and the decision to elaborate the Brazil-China Joint Action Plan for 2010-2014.","Direct evidence that rank/status language was linked to presidential diplomacy, policy priorities, and the institutionalization of the bilateral agenda.",Forte,verified,Independent verifier confirmed context around diplomacy and PAC 2010-2014.
MECH005,2010-04-14,2010,MRE/FUNAG official policy review (press note),Ministry of External Relations (MRE/Itamaraty),MRE press note,"Visita ao Brasil do Presidente da República Popular da China, Hu Jintao - Brasília, 14 a 17 de abril de 2010",https://www.funag.gov.br/chdd/images/Resenhas/Novas/resenha106_1_2010.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/resenha106_1_2010.pdf,2026-05-19,"A China foi, em 2009, o maior parceiro comercial do Brasil.","In 2009, China was Brazil's largest trading partner.","The note announced Hu Jintao's state visit, stated that the presidents would discuss deepening the Strategic Partnership, and announced signature of the Brazil-China Joint Action Plan for 2010-2014.",Direct official rank cue used by MRE in a visit note tied to deepening the Strategic Partnership and signing the PAC.,Forte,verified,"MRE press note; not a speech, but directly connects rank with diplomatic agenda."
MECH006,2011-03-01,2011,MRE/FUNAG official policy review (press note),Ministry of External Relations (MRE/Itamaraty),MRE press note,"Visita do Ministro Antonio de Aguiar Patriota à China - Pequim, 3 e 4 de março de 2011",https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha108_1Sem_2011.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha108_1Sem_2011.pdf,2026-05-19,A China é o maior parceiro comercial do Brasil.,China is Brazil's largest trading partner.,"The note presented Patriota's China trip as preparation for Dilma Rousseff's April 2011 state visit and BRICS summit, with meetings on trade, investment, science and technology, and international issues.",Official rank cue in a ministerial-visit note connected to preparation of a presidential visit and bilateral agenda.,Forte,verified,Strong/medium because the rank statement supports the visit context but is less causally explicit than MECH011.
MECH007,2011-04-08,2011,MRE/FUNAG official policy review (press note),Ministry of External Relations (MRE/Itamaraty),MRE press note,"Visita de Estado da Presidenta da República, Dilma Rousseff, à República Popular da China - Pequim, 12 e 13 de abril de 2011",https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha108_1Sem_2011.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha108_1Sem_2011.pdf,2026-05-19,A China é o maior parceiro comercial do Brasil.,China is Brazil's largest trading partner.,"The note framed Dilma Rousseff's visit around deepening the Sino-Brazilian Strategic Partnership, with attention to trade, investment, science and technology, multilateral themes, and several bilateral acts.",Direct official rank cue in the MRE framing of a presidential state visit to China.,Forte,verified,Strong/medium; direct rank language but not a causal sentence.
MECH008,2011-04-12,2011,Joint communique reproduced in MRE/FUNAG official policy review,Presidency of Brazil; MRE/Itamaraty; Government of China,"Joint communique, Dilma Rousseff and Hu Jintao state visit","Comunicado Conjunto entre a República Federativa do Brasil e a República Popular da China - Pequim, em 12 de abril de 2011",https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha108_1Sem_2011.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha108_1Sem_2011.pdf,2026-05-19,"Em 2009, a China tornou-se o principal parceiro comercial brasileiro.","In 2009, China became Brazil's principal trading partner.","The communique says the relationship had growing strategic content, praises the PAC 2010-2014, evaluates economic-commercial cooperation, and immediately after the rank statement calls for intensified dialogue on trade/investment structures, trade diversification, reciprocal investment, and market-economy recognition.",Very direct official evidence linking the rank cue to strategic partnership language and concrete trade/investment policy dialogue.,Forte,verified,One of the best final-block sources.
MECH009,2011-05-11,2011,MRE/FUNAG official policy review (press note),Ministry of External Relations (MRE/Itamaraty),MRE press note,"Visita ao Brasil do Ministro do Comércio da República Popular da China, Chen Deming",https://www.funag.gov.br/chdd/images/Resenhas/Novas/Resenha108_1Sem_2011.pdf,data/raw/mechanism_evidence_china_2009_2011/mre_resenhas/Resenha108_1Sem_2011.pdf,2026-05-19,A China é o maior parceiro comercial do Brasil.,China is Brazil's largest trading partner.,"The note states that Chen Deming's Brazil visit was foreseen in the April 2011 joint communique, occurred in the context of deepening the Strategic Partnership and executing PAC 2010-2014, and aimed to promote trade diversification and reciprocal investment.",Official rank cue tied to implementation of the PAC and commercial policy follow-through after the presidential visit.,Forte,verified,Good evidence of policy follow-through.
MECH010,2011-10-07,2011,Official legislative news,Chamber of Deputies (Agência Câmara),"Aldo Rebelo, rapporteur, as reported by Agência Câmara",Comissão aprova acordo de direitos civil e comercial entre Brasil e China,https://www.camara.leg.br/noticias/222695-comissao-aprova-acordo-de-direitos-civil-e-comercial-entre-brasil-e-china/,data/raw/mechanism_evidence_china_2009_2011/camara/camara_noticias_222695_2011.html,2026-05-19,a China se tornou o principal parceiro comercial do Brasil.,China became Brazil's principal trading partner.,"The Chamber story reports that rapporteur Aldo Rebelo used the commercial-rank shift and MDIC trade data while discussing approval of a civil and commercial judicial-assistance agreement with China, then connected expanded relations to new private-law disputes.",Medium evidence that rank/status language also appeared in legislative justification for an institutional adjustment linked to Brazil-China relations.,Média,verified,"Use with qualifier that the story says this occurred in the previous two years; it is legislative/judicial adjustment, not presidential diplomacy."
