"title";"data";"date_piece";"year";"subject"
"China opta pela prudência e espera que Bush reavalie pontos de vista";"14.dez.2000 às 11h25";2000-12-14;2000;"Diplomacy"
"Ação por uso abusivo do nome Viagra é recusada por Corte chinesa";"13.dez.2000 às 20h10";2000-12-13;2000;"Trademark dispute"
"Arqueólogos encontram peça judia de mil anos na China";"29.out.2001 às 10h36";2001-10-29;2001;"Archaeology"
"Grupo Imperial da China inicia turnê no Brasil";"31.mai.2001 às 4h13";2001-05-31;2001;"Culture tour"
"Presidente da China, Jiang Zemin, visita Brasília amanhã";"10.abr.2001 às 15h44";2001-04-10;2001;"State visit"
"EUA confirmam deserção de militar chinês";"23.mar.2001 às 17h55";2001-03-23;2001;"Military dispute"
"Neve mata pastores e ameaça fauna no noroeste da China";"8.fev.2001 às 13h41";2001-02-08;2001;"Weather disaster"
"Partido Comunista chinês inicia comemorações do 80º aniversário";"30.jun.2001 às 10h16";2001-06-30;2001;"CCP"
"China é conquista a Copa dos Campeões feminina de vôlei";"17.nov.2001 às 9h41";2001-11-17;2001;"Sports"
"Scolari insiste na marcação no último treino antes da China";"7.jun.2002 às 7h45";2002-06-07;2002;"Sports"
"China reprime grupos dissidentes que usam a internet";"27.ago.2002 às 18h45";2002-08-27;2002;"Internet repression"
"Incêndio em mina de carvão na China deixa 25 mortos";"6.dez.2002 às 16h48";2002-12-06;2002;"Natural disaster"
"Enchentes ainda ameaçam Alemanha e deixam 250 mortos na China";"18.ago.2002 às 15h27";2002-08-18;2002;"Natural disaster"
"Dinossauro encontrado na China esclarece origem das aves";"14.fev.2002 às 10h16";2002-02-14;2002;"Paleontology"
"Na China, torcida come até escorpião em estádio";"11.ago.2002 às 8h14";2002-08-11;2002;"Sports"
"China provavelmente obteve material secreto americano, dizem EUA";"12.set.2003 às 22h13";2003-09-12;2003;"Espionage"
"Motorola investirá US$ 100 mi em centro de pesquisa na China";"7.jan.2003 às 10h55";2003-01-07;2003;"Tech investment"
"Clinton faz apelo para que a China aja com mais rigor contra Aids";"10.nov.2003 às 10h00";2003-11-10;2003;"Health diplomacy"
"Manifestação contra japoneses reúne milhares de pessoas na China";"1.nov.2003 às 9h15";2003-11-01;2003;"Anti-Japan protest"
"China convoca embaixador dos EUA em protesto contra cotas";"21.nov.2003 às 8h00";2003-11-21;2003;"Trade dispute China-US"
"Ex-agente do FBI é indiciado em caso envolvendo espiã chinesa";"7.mai.2003 às 22h06";2003-05-07;2003;"Espionage"
"Empresas de TI vão contratar funcionários na Índia e China";"1.mar.2004 às 14h47";2004-03-01;2004;"Tech hiring"
"China antecipa lançamento de satélite em órbita da Lua";"26.mar.2004 às 10h43";2004-03-26;2004;"Space program"
"Incêndio em shopping na China deixa 51 mortos e 60 feridos";"15.fev.2004 às 10h14";2004-02-15;2004;"Natural disaster"
"Desaceleração chinesa influi pouco sobre agronegócio no Brasil";"30.abr.2004 às 8h13";2004-04-30;2004;"Brazil agribiz"
"PF vê ligação de empresário chinês com juízes e políticos";"18.jun.2004 às 6h00";2004-06-18;2004;"Crime chinese guy"
"Explosão em central elétrica mata 13 pessoas na China";"24.set.2004 às 3h15";2004-09-24;2004;"Natural disaster"
"Salvaguarda prejudicaria relação com o Brasil, diz China";"4.out.2005 às 14h13";2005-10-04;2005;"Trade dispute Brazil-China"
"\"Herói\" cria versão idealizada do nascimento da nação chinesa";"24.mar.2005 às 10h02";2005-03-24;2005;"Culture"
"China anuncia meta de crescimento de 8% para 2005";"5.mar.2005 às 8h50";2005-03-05;2005;"Chinese economy"
"China é o maior mercado para exportações da América do Sul, diz Cepal";"6.set.2005 às 14h06";2005-09-06;2005;"South-America trade"
"Lei chinesa contra Taiwan é inapropriada, dizem EUA";"14.mar.2005 às 15h36";2005-03-14;2005;"Taiwan"
"Google pretende abrir escritório na China ainda este ano";"11.mai.2005 às 12h37";2005-05-11;2005;"Tech investment"
"Para governo, novo câmbio chinês só beneficia Brasil no médio prazo";"25.jul.2005 às 15h56";2005-07-25;2005;"Currency policy and Brazil"
"Denílsons, negócio da China";"15.set.2006 à 0h00";2006-09-15;2006;"Sports"
"Jornalista da Folha lança livro sobre a China";"16.mar.2006 às 11h46";2006-03-16;2006;"Culture"
"China nega foco de variante do vírus da gripe aviária";"10.nov.2006 às 16h00";2006-11-10;2006;"Health issue"
"Comissão prevê crescimento de 10,5% na China neste ano";"11.dez.2006 às 11h38";2006-12-11;2006;"Chinese economy"
"Albânia registra 1º caso de gripe aviária; China tem nova morte";"8.mar.2006 às 12h31";2006-03-08;2006;"Health issue"
