iso3c,source_id,publication_date,url,source_name,metric,period,role,existing_raw_file,query_used
KOR,kor_first,2003-10-24,https://koreajoongangdaily.joins.com/2003/10/24/economy/Koreas-neighbor-is-now-its-largest-export-market/2050062.html,Korea JoongAng Daily,goods_exports,other,first_cue,data/raw/status_cue_salience/extension_2026/KOR/2003/kor_joongang_2003_10_24/20260922T224712Z.html,Reauditoria da fonte registrada em status_cue_source_evidence_extension.csv para KOR 2003-10-24
KOR,kor_annual_2003,2010,https://www.kiep.kr/galleryDownload.es?bid=0001&list_no=1422&seq=1,KIEP,goods_exports,annual,annual_confirmation,,site:kiep.kr Korea exports China USA 2003 35110 34369
AUS,aus_first,2007-05-04,https://www.abc.net.au/news/2007-05-04/china-overtakes-japan-in-trade-with-aust/2540062,ABC News,total_trade_unspecified,annual,first_cue,data/raw/status_cue_salience/AUS/australia_media_search/20260922T160400Z/aus_abc_news_2007_05_04_china_overtakes_japan.html,Reauditoria da fonte registrada em australia_public_cue_media_2006_2009.csv para AUS 2007-05-04
AUS,aus_rolling,2007-09-01,https://www.abc.net.au/news/2007-09-01/china-unseats-japan-as-australias-largest-trade/656322,ABC News,total_trade_unspecified,annual,independent_rolling,data/raw/status_cue_salience/AUS/australia_media_search/20260922T160400Z/aus_abc_news_2007_09_01_china_unseats_japan.html,Reauditoria da fonte registrada em australia_public_cue_media_2006_2009.csv para AUS 2007-09-01
AUS,aus_dfat_2007,2008-05-19,https://www.dfat.gov.au/news/media/Pages/australia-s-composition-of-trade-2007,Australian DFAT,two_way_trade_goods_services,annual,annual_context,,site:dfat.gov.au composition of trade 2007 China largest trading partner
CHL,chl_first,2007-02-19,https://live.mundomaritimo.cl/noticias/china-parte-2007-como-principal-destino-de-exportaciones-chilenas,MundoMarítimo (republicação de El Mercurio),goods_exports,month,first_cue,data/raw/status_cue_salience/chile_2007_2008/CHL/2007/chl_mundomaritimo_2007_02_19/20260923T012104Z.html,Reauditoria da fonte registrada em chile_public_cue_2007_2008_source_evidence.csv para CHL 2007-02-19
CHL,chl_annual_2007,2008-04,https://si3.bcentral.cl/estadisticas/principal1/informes/se/comex/ice042007.pdf,Banco Central de Chile,goods_exports,annual,annual_confirmation,,site:bcentral.cl indicadores comercio exterior cuarto trimestre 2007 China Estados Unidos exportaciones
BRA,bra_first,2009-05-04,https://memoria.ebc.com.br/agenciabrasil/noticia/2009-05-04/china-supera-estados-unidos-e-torna-se-maior-parceiro-comercial-do-brasil,Agência Brasil,two_way_trade_goods,other,first_cue,data/raw/status_cue_salience/BRA/2009/ag_ncia_brasil/bra_agencia_brasil_2009_05_04.html,Reauditoria da fonte registrada em status_cue_source_evidence.csv para BRA 2009-05-04; período janeiro-abril de 2009
BRA,bra_annual_2009,2010-01-26,https://prefeitura.sp.gov.br/web/relacoes_internacionais/w/noticias/14383,Prefeitura de São Paulo / Apex,two_way_trade_goods,annual,annual_confirmation,,site:prefeitura.sp.gov.br 2010 China 2009 maior parceiro comercial 36.1 35.9
ZAF,zaf_first,2009-12-11,https://mg.co.za/article/2009-12-11-its-the-rigidities-stupid/,Mail & Guardian,total_trade_unspecified,other,first_cue,data/raw/status_cue_salience/extension_2026/ZAF/2009/zaf_mg_2009_12_11/20260922T223443Z.html,Reauditoria da fonte registrada em status_cue_source_evidence_extension.csv para ZAF 2009-12-11
