iso3c,query_exact,years_targeted,observed_result,searched_at_utc
JPN,site:j-cast.com 2005 2006 中国 香港除く 最大 貿易相手国,2005-2006,no earlier mainland-only rank recovered,2026-09-24
MYS,site:thestar.com.my 2006 2007 2008 China largest trading partner Malaysia Singapore,2006-2008,no earlier valid local rank recovered,2026-09-24
PER,site:andina.pe 2007 2008 2009 2010 China principal destino exportaciones Perú Estados Unidos,2007-2010,2009-2010 other destination first and prospective China status,2026-09-24
SAU,site:alwatan.com.sa 2010 2011 2012 الصين الشريك التجاري الأول السعودية,2010-2012,no earlier archived local current rank recovered,2026-09-24
PHL,site:gmanetwork.com 2002 2003 2004 2005 2006 China Philippines top export destination Hong Kong,2002-2006,sectoral claims only,2026-09-24
PHL,site:psa.gov.ph 2005 2006 China top export partner Philippines Japan United States,2005-2006,US and Japan ahead in official rank,2026-09-24
RUS,site:bfm.ru Китай крупнейший торговый партнер России 2009 2010 Германия,2009-2010,2009 first-quarter lead; annual confirmation fails,2026-09-24
RUS,Россия крупнейший торговый партнер 2009 итоги года Германия Китай товарооборот ФТС 2009,2009,2009 annual Netherlands and Germany ahead,2026-09-24
KAZ,site:inform.kz 2007 2008 2009 Китай занимает первое место торговых партнеров Казахстана,2007-2009,no explicit China-first rank recovered,2026-09-24
KAZ,site:inform.kz 2007 2008 2009 Китай Россия Италия крупнейший торговый партнер Казахстана,2007-2009,2010 list about France fourth; China not explicitly first,2026-09-24
KAZ,site:stat.gov.kz 2009 Китай Россия Италия торговые партнеры Казахстан,2009,full-year Russia bilateral sum exceeds China,2026-09-24
AGO,site:angop.ao 2004 2005 2006 China maior parceiro comercial Angola Estados Unidos,2004-2006,no local national rank source recovered,2026-09-24
AGO,"""Os principais Parceiros das Exportações angolanas durante o ano de 2008"" China",2008-2009,"INE 2008 annual lead, mirrored page inaccessible to collector",2026-09-24
AGO,"""Anuário Estatístico do Comércio Externo"" ""2008"" Angola lançado 2009",2009,"INE publication month June 2009, day unavailable",2026-09-24
COD,site:radiookapi.net 2005 2006 2007 Chine premier partenaire commercial RDC Belgique,2005-2007,no eligible national trade rank recovered,2026-09-24
COD,République Democrática Congo Chine premier partenaire commercial 2008 2009 2010 site:radiookapi.net,2008-2010,"cooperation coverage, no eligible national rank",2026-09-24
MRT,site:ami.mr 2003 2004 2005 2006 Chine premier partenaire commercial Mauritanie,2003-2006,"bilateral cooperation, no eligible first rank",2026-09-24
MRT,site:ami.mr 2007 2008 2009 Chine premier partenaire commercial Mauritanie,2007-2009,later retrospective first-rank pages outside window,2026-09-24
MMR,"site:irrawaddy.com 2011 2012 2013 ""China"" ""Burma's largest trading partner""",2011-2013,2012 local leads not capturable due HTTP 403,2026-09-24
MMR,site:dvbburmese.com 2011 2012 2013 တရုတ် အကြီးဆုံး ကုန်သွယ်ဖက် မြန်မာ,2011-2013,no earlier archived rank recovered,2026-09-24
SLB,site:solomonstarnews.com 2000 2001 2002 2003 China largest trading partner Solomon Islands Japan,2000-2003,only later status/retrospective pages retrieved,2026-09-24
SLB,site:si-trade.gov.sb 2000 2001 2002 2003 2004 China Japan export partner Solomon Islands,2000-2004,no contemporary source recovered,2026-09-24
SLE,site:awoko.org 2009 2010 2011 2012 China largest trading partner Sierra Leone,2009-2012,original Awoko archive not recovered,2026-09-24
ERI,"site:shabait.com 2011 2012 2013 2014 2015 2016 2017 Eritrea China ""largest trading partner""",2011-2017,2018 Chinese-authored statement outside window; no eligible earlier,2026-09-24
TKM,site:turkmenistan.gov.tm 2007 2008 2009 2010 2011 Китай первый торговый партнер Туркменистана,2007-2011,2010 China fourth; Jan-Sep 2011 first without annual confirmation,2026-09-24
TKM,"site:turkmenistan.gov.tm/ru/post/ 2012 ""по итогам 2011 года"" ""Китай"" ""первое место"" торговых партнеров",2011-2012,no full-year 2011 confirmation retrieved,2026-09-24
AGO,Angola INE anuário comércio externo 2008 China principal destino exportações junho 2009 pdf,2008-2009,INE historical publication index and third-party 2008 annual mirror located; official annual raw not recovered.,2026-09-24
AGO,site:ine.gov.ao anuário estatístico comércio externo 2008 China exportações,2008-2009,Official INE index https://www.ine.gov.ao/publicacoes/detalhes/NTE0NDM%3D lists 2008 foreign-trade bulletins; historical detail page timed out and no countable rank raw recovered.,2026-09-24
AGO,site:angop.ao 2009 China principal destino exportações Angola 2008,2008-2009,No archived contemporaneous ANGOP China-first countrywide rank recovered.,2026-09-24
AGO,site:jornaldeangola.ao 2008 China principal destino exportações Angola,2008,No archived contemporaneous Jornal de Angola China-first countrywide rank recovered.,2026-09-24
