source_bpm5,metric,metric_label,iso3c,country_name,year,top1_partner_iso3_bpm5,top1_partner_name_bpm5,top1_value_musd_bpm5,top2_partner_iso3_bpm5,top2_partner_name_bpm5,top2_value_musd_bpm5,top1_top2_margin_musd_bpm5,top1_top2_margin_share_bpm5,source_bpm6,top1_partner_iso3_bpm6,top1_partner_name_bpm6,top1_value_musd_bpm6,top2_partner_iso3_bpm6,top2_partner_name_bpm6,top2_value_musd_bpm6,top1_top2_margin_musd_bpm6,top1_top2_margin_share_bpm6,present_bpm5,present_bpm6,comparison_sample,both_sources_present,top1_same,top2_ordered_same,top2_unordered_same,china_top1_bpm5,china_top1_bpm6,china_top1_status_same,china_in_top2_bpm5,china_in_top2_bpm6,china_in_top2_status_same,china_in_top2_any_source,china_top1_any_source,top1_disagreement_involves_china,top2_disagreement_involves_china,min_top1_top2_margin_share,close_top1_top2_case
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2009,NGA,Nigeria,1011.6958350000001,USA,United States,561.388731,450.3071040000001,0.44510127295324886,BPM6,USA,United States,1067.6656940000003,NGA,Nigeria,806.81315300000006,260.8525410000002,0.24432042957446579,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.24432042957446579,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AFG,Afghanistan,2011,GBR,United Kingdom,537.3732910000001,IND,India,414.90177100000005,122.47152000000006,0.22790771713289343,BPM6,USA,United States,1070.3463709999996,GBR,United Kingdom,570.655792,499.6905789999996,0.46684941672960534,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.22790771713289343,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,AGO,Angola,2007,USA,United States,14001.237782,CHN,China,13297.965161,703.2726210000001,0.05022931771818973,BPM6,CHN,China,12965.437856,USA,United States,12954.809599,10.628257000000303,8.197376068623766e-4,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,8.197376068623766e-4,TRUE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ALB,Albania,2008,NGA,Nigeria,998.9633409999996,ITA,Italy,993.5167,5.446640999999545,0.0054522931687836056,BPM6,ITA,Italy,1428.066064,NGA,Nigeria,839.5271899999996,588.5388740000005,0.4121230024551585,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0054522931687836056,TRUE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ATG,Antigua & Barbuda,2005,DEU,Germany,178.324007,GBR,United Kingdom,137.311594,41.01241299999998,0.2299881754002981,BPM6,USA,United States,225.17703400000002,DEU,Germany,177.76900899999998,47.40802500000004,0.21053667933116144,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.21053667933116144,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ATG,Antigua & Barbuda,2006,DEU,Germany,235.6957,GBR,United Kingdom,187.59726000000003,48.098439999999954,0.20407007849527994,BPM6,USA,United States,271.478696,DEU,Germany,209.186341,62.292355000000015,0.22945577652251584,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.20407007849527994,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,ATG,Antigua & Barbuda,2008,NGA,Nigeria,207.92985099999999,GBR,United Kingdom,156.51636100000002,51.41348999999997,0.24726363123301603,BPM6,USA,United States,321.873893,NGA,Nigeria,124.42797099999997,197.44592200000005,0.6134263333994598,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.24726363123301603,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,BHR,Bahrain,2005,SAU,Saudi Arabia,925.6446319999998,USA,United States,578.528522,347.1161099999998,0.3749993226342179,BPM6,USA,United States,1504.700905,SAU,Saudi Arabia,810.1637229999999,694.537182,0.4615782310571549,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.3749993226342179,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,BHR,Bahrain,2006,SAU,Saudi Arabia,1094.68075,USA,United States,715.446141,379.234609,0.3464339799526026,BPM6,USA,United States,1594.390946,SAU,Saudi Arabia,953.1501169999999,641.2408290000001,0.4021854430425247,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.3464339799526026,FALSE
BPM5,goods_services_exports_combined,Bens + serviços: exportações,BHR,Bahrain,2007,SAU,Saudi Arabia,1309.9771419999997,USA,United States,775.5387109999999,534.4384309999998,0.4079753866422808,BPM6,USA,United States,1571.0060620000002,SAU,Saudi Arabia,1162.2698259999997,408.7362360000004,0.2601748305666311,TRUE,TRUE,common_bpm5_bpm6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2601748305666311,FALSE
